,OPC,FA,GGBFS,SF,MK,BA,CKD,NP,POFA,RHA,VA,Zeolite,Pumice,Coarse aggregate,Fine aggregate,Water,Superplasticizer,water -eff,w/b (eff),w/b (total),b/CA,b/FA,Slump flow (mm),SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,Specific surface area (m2/kg),Al2O3_BA,Al2O3_CKD,Al2O3_FA,Al2O3_GGBFS,Al2O3_MK,Al2O3_NP,Al2O3_OPC,Al2O3_POFA,Al2O3_Pumice,Al2O3_RHA,Al2O3_SF,Al2O3_VA,Al2O3_Zeolite,CaO_BA,CaO_CKD,CaO_FA,CaO_GGBFS,CaO_MK,CaO_NP,CaO_OPC,CaO_POFA,CaO_Pumice,CaO_RHA,CaO_SF,CaO_VA,CaO_Zeolite,Fe2O3_BA,Fe2O3_CKD,Fe2O3_FA,Fe2O3_GGBFS,Fe2O3_MK,Fe2O3_NP,Fe2O3_OPC,Fe2O3_POFA,Fe2O3_Pumice,Fe2O3_RHA,Fe2O3_SF,Fe2O3_VA,Fe2O3_Zeolite,K2O_BA,K2O_CKD,K2O_FA,K2O_GGBFS,K2O_MK,K2O_NP,K2O_OPC,K2O_POFA,K2O_RHA,K2O_SF,K2O_VA,MgO_BA,MgO_CKD,MgO_FA,MgO_GGBFS,MgO_MK,MgO_NP,MgO_OPC,MgO_POFA,MgO_Pumice,MgO_RHA,MgO_SF,MgO_VA,MgO_Zeolite,Na2O_BA,Na2O_CKD,Na2O_FA,Na2O_GGBFS,Na2O_MK,Na2O_NP,Na2O_OPC,Na2O_POFA,Na2O_RHA,Na2O_SF,Na2O_VA,P2O5_GGBFS,P2O5_OPC,P2O5_POFA,SO3_BA,SO3_CKD,SO3_FA,SO3_GGBFS,SO3_MK,SO3_NP,SO3_OPC,SO3_POFA,SO3_RHA,SO3_SF,SO3_VA,SiO2_BA,SiO2_CKD,SiO2_FA,SiO2_GGBFS,SiO2_MK,SiO2_NP,SiO2_OPC,SiO2_POFA,SiO2_Pumice,SiO2_RHA,SiO2_SF,SiO2_VA,SiO2_Zeolite,Specific surface area (m2/kg)_BA,Specific surface area (m2/kg)_FA,Specific surface area (m2/kg)_GGBFS,Specific surface area (m2/kg)_MK,Specific surface area (m2/kg)_NP,Specific surface area (m2/kg)_OPC,Specific surface area (m2/kg)_POFA,Specific surface area (m2/kg)_Pumice,Specific surface area (m2/kg)_RHA,Specific surface area (m2/kg)_SF,Specific surface area (m2/kg)_VA,Specific surface area (m2/kg)_Zeolite,TiO2_FA,TiO2_GGBFS,TiO2_MK,TiO2_OPC,TiO2_POFA,TiO2_SF,28-d
575,522.5,0,0,0,0,0,0,0,0,0,0,0,0,880,750,220,4,222.6,0.4,0.404727273,0.625,0.733333333,677.844,11364.375,2690.875,1687.675,33309.375,600.875,172.425,292.6,1018.875,0,0,172425,0,0,0,0,0,0,2690.875,0,0,0,0,0,0,0,0,0,0,0,0,33309.375,0,0,0,0,0,0,0,0,0,0,0,0,1687.675,0,0,0,0,0,0,0,0,0,0,0,0,292.6,0,0,0,0,0,0,0,0,0,0,600.875,0,0,0,0,0,0,0,0,0,0,0,0,172.425,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.875,0,0,0,0,0,0,0,0,0,0,11364.375,0,0,0,0,0,0,0,0,0,0,0,172425,0,0,0,0,0,0,0,0,0,0,0,0,34.08
576,550,0,0,0,0,0,0,0,0,0,0,0,0,880,760,220,3,221.95,0.4,0.403545455,0.625,0.723684211,674.78,11962.5,2832.5,1776.5,35062.5,632.5,181.5,308,1072.5,0,0,181500,0,0,0,0,0,0,2832.5,0,0,0,0,0,0,0,0,0,0,0,0,35062.5,0,0,0,0,0,0,0,0,0,0,0,0,1776.5,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,0,0,0,181.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1072.5,0,0,0,0,0,0,0,0,0,0,11962.5,0,0,0,0,0,0,0,0,0,0,0,181500,0,0,0,0,0,0,0,0,0,0,0,0,34.48
577,438.6,0,0,48.7,0,0,0,0,0,0,0,0,0,969.9,755.7,185.2,12.2,193.252,0.380053355,0.396577057,0.50242293,0.644832606,425,13993.12,1985.376,997.074,28284.316,612.534,190.05,423.476,1398.62,0,0,737802.2346,0,0,0,0,0,0,1956.156,0,0,0,29.22,0,0,0,0,0,0,0,0,28250.226,0,0,0,34.09,0,0,0,0,0,0,0,0,982.464,0,0,0,14.61,0,0,0,0,0,0,0,0,399.126,0,0,24.35,0,0,0,0,0,0,0,548.25,0,0,0,64.284,0,0,0,0,0,0,0,0,175.44,0,0,14.61,0,0,0,0,0,0,0,0,0,0,1359.66,0,0,38.96,0,0,0,0,0,0,0,9473.76,0,0,0,4519.36,0,0,0,0,0,0,0,161632.5346,0,0,0,576169.7,0,0,0,0,0,0,0,0,66.08
578,452.7,0,0,50.3,0,0,0,0,0,0,0,0,0,1040.6,654.7,191.1,17.6,202.716,0.379920477,0.403013917,0.483374976,0.76829082,630,14446.16,2049.222,1029.138,29193.617,632.271,196.17,437.107,1443.61,0,0,761927.9558,0,0,0,0,0,0,2019.042,0,0,0,30.18,0,0,0,0,0,0,0,0,29158.407,0,0,0,35.21,0,0,0,0,0,0,0,0,1014.048,0,0,0,15.09,0,0,0,0,0,0,0,0,411.957,0,0,25.15,0,0,0,0,0,0,0,565.875,0,0,0,66.396,0,0,0,0,0,0,0,0,181.08,0,0,15.09,0,0,0,0,0,0,0,0,0,0,1403.37,0,0,40.24,0,0,0,0,0,0,0,9778.32,0,0,0,4667.84,0,0,0,0,0,0,0,166828.6558,0,0,0,595099.3,0,0,0,0,0,0,0,0,64.56
579,478.7,0,0,53.2,0,0,0,0,0,0,0,0,0,918.5,715.7,202.1,18.6,214.376,0.379958639,0.403038165,0.579096353,0.743188487,700,15276.88,2166.922,1088.248,30870.307,668.599,207.44,462.217,1526.53,0,0,805819.3558,0,0,0,0,0,0,2135.002,0,0,0,31.92,0,0,0,0,0,0,0,0,30833.067,0,0,0,37.24,0,0,0,0,0,0,0,0,1072.288,0,0,0,15.96,0,0,0,0,0,0,0,0,435.617,0,0,26.6,0,0,0,0,0,0,0,598.375,0,0,0,70.224,0,0,0,0,0,0,0,0,191.48,0,0,15.96,0,0,0,0,0,0,0,0,0,0,1483.97,0,0,42.56,0,0,0,0,0,0,0,10339.92,0,0,0,4936.96,0,0,0,0,0,0,0,176410.1558,0,0,0,629409.2,0,0,0,0,0,0,0,0,72.48
580,486.8,0,0,54.1,0,0,0,0,0,0,0,0,0,987.7,691.4,183.9,16.2,194.592,0.339988907,0.359755962,0.547635922,0.782325716,600,15535.36,2203.588,1106.662,31392.658,679.912,210.95,470.038,1552.36,0,0,819452.2615,0,0,0,0,0,0,2171.128,0,0,0,32.46,0,0,0,0,0,0,0,0,31354.788,0,0,0,37.87,0,0,0,0,0,0,0,0,1090.432,0,0,0,16.23,0,0,0,0,0,0,0,0,442.988,0,0,27.05,0,0,0,0,0,0,0,608.5,0,0,0,71.412,0,0,0,0,0,0,0,0,194.72,0,0,16.23,0,0,0,0,0,0,0,0,0,0,1509.08,0,0,43.28,0,0,0,0,0,0,0,10514.88,0,0,0,5020.48,0,0,0,0,0,0,0,179395.1615,0,0,0,640057.1,0,0,0,0,0,0,0,0,69.92
581,487.4,0,0,54.2,0,0,0,0,0,0,0,0,0,974.4,759.2,162.5,19,175.04,0.300036928,0.323190547,0.555829228,0.713382508,380,15557.6,2206.324,1108.036,31431.374,680.794,211.22,470.634,1554.3,0,0,820856.4731,0,0,0,0,0,0,2173.804,0,0,0,32.52,0,0,0,0,0,0,0,0,31393.434,0,0,0,37.94,0,0,0,0,0,0,0,0,1091.776,0,0,0,16.26,0,0,0,0,0,0,0,0,443.534,0,0,27.1,0,0,0,0,0,0,0,609.25,0,0,0,71.544,0,0,0,0,0,0,0,0,194.96,0,0,16.26,0,0,0,0,0,0,0,0,0,0,1510.94,0,0,43.36,0,0,0,0,0,0,0,10527.84,0,0,0,5029.76,0,0,0,0,0,0,0,179616.2731,0,0,0,641240.2,0,0,0,0,0,0,0,0,52
582,490.3,0,0,25.8,0,0,0,0,0,0,0,0,0,987.2,691,196.1,15.5,206.33,0.379965123,0.399786863,0.522791734,0.746888567,700,12984.72,2202.218,1106.012,31598.283,646.931,203.86,459.073,1540.57,0,0,485924.7788,0,0,0,0,0,0,2186.738,0,0,0,15.48,0,0,0,0,0,0,0,0,31580.223,0,0,0,18.06,0,0,0,0,0,0,0,0,1098.272,0,0,0,7.74,0,0,0,0,0,0,0,0,446.173,0,0,12.9,0,0,0,0,0,0,0,612.875,0,0,0,34.056,0,0,0,0,0,0,0,0,196.12,0,0,7.74,0,0,0,0,0,0,0,0,0,0,1519.93,0,0,20.64,0,0,0,0,0,0,0,10590.48,0,0,0,2394.24,0,0,0,0,0,0,0,180684.9788,0,0,0,305239.8,0,0,0,0,0,0,0,0,58.08
583,491.7,0,0,0,0,0,0,0,0,0,0,0,0,973.2,758.3,186.8,17.2,198.152,0.379906447,0.402993695,0.505240444,0.648424107,695,10620.72,2192.982,1101.408,31670.397,614.625,196.68,447.447,1524.27,0,0,181200.9058,0,0,0,0,0,0,2192.982,0,0,0,0,0,0,0,0,0,0,0,0,31670.397,0,0,0,0,0,0,0,0,0,0,0,0,1101.408,0,0,0,0,0,0,0,0,0,0,0,0,447.447,0,0,0,0,0,0,0,0,0,0,614.625,0,0,0,0,0,0,0,0,0,0,0,0,196.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1524.27,0,0,0,0,0,0,0,0,0,0,10620.72,0,0,0,0,0,0,0,0,0,0,0,181200.9058,0,0,0,0,0,0,0,0,0,0,0,0,53.84
584,493.2,0,0,26,0,0,0,0,0,0,0,0,0,1017.2,712.1,176.5,15.6,186.796,0.339946071,0.359776579,0.510420763,0.72911108,570,13065.92,2215.272,1112.568,31785.212,650.82,205.08,461.812,1549.72,0,0,489359.6846,0,0,0,0,0,0,2199.672,0,0,0,15.6,0,0,0,0,0,0,0,0,31767.012,0,0,0,18.2,0,0,0,0,0,0,0,0,1104.768,0,0,0,7.8,0,0,0,0,0,0,0,0,448.812,0,0,13,0,0,0,0,0,0,0,616.5,0,0,0,34.32,0,0,0,0,0,0,0,0,197.28,0,0,7.8,0,0,0,0,0,0,0,0,0,0,1528.92,0,0,20.8,0,0,0,0,0,0,0,10653.12,0,0,0,2412.8,0,0,0,0,0,0,0,181753.6846,0,0,0,307606,0,0,0,0,0,0,0,0,74.48
